index,plant_type,disease_name,explanation,solution,image_url
0,사과 , 딱지,"사과 딱지는 미네소타의 사과나무와 게사과나무에서 가장 흔한 질병입니다.
딱지는 잎과 과일 모두를 감염시키는 곰팡이에 의해 발생합니다.
딱지 과일은 먹기에 부적합한 경우가 많습니다.
감염된 잎에는 올리브 녹색에서 갈색 반점이 나타납니다.
잎 반점이 많은 잎은 노랗게 변하고 일찍 떨어진다.
잎사귀 손실이 수년 연속 발생하면 나무가 약해집니다.
질병에 강한 품종을 심는 것이 딱지를 관리하는 가장 좋은 방법입니다.","가능하다면 저항성 품종을 선택하십시오.
내년 봄에 질병 주기를 다시 시작할 수 있는 곰팡이 포자의 수를 줄이기 위해 나무 밑을 긁어 모으고 감염된 잎을 파괴합니다.
감염이 발생하기 전에 잎이 건조될 시간을 주기 위해 저녁이나 이른 아침 시간에 물을 줍니다(머리 위 관개는 피함).
나무 아래에 3~6인치 두께의 퇴비를 뿌리고 줄기에서 멀리 떨어지게 하여 토양을 덮고 곰팡이 포자가 튀는 것을 방지합니다.
최선의 통제를 위해 증상이 정상적으로 나타나기 2주 전에 액체 구리 비누를 일찍 뿌리십시오. 또는 질병이 처음 나타날 때 적용을 시작하고 꽃이 떨어질 때까지 7~10일 간격으로 반복합니다.",https://extension.umn.edu/sites/extension.umn.edu/files/apple-scab-1.jpg
1,사과 , 블랙 로트,"잎 증상은 잎이 펼쳐지는 봄 초에 처음으로 질병이름나타납니다.
이는 잎의 윗면에 작은 보라색 반점으로 나타나며 직경 1/8~1/4인치(3~6mm)의 원형 병변으로 확대됩니다.
병변의 가장자리는 보라색으로 남아 있고 중앙은 황갈색으로 변합니다. 몇 주 안에 이러한 잎 반점의 2차 확대가 발생합니다.
심하게 감염된 잎은 백화되고 낙엽이 발생합니다.
썩은 부위가 확대됨에 따라 검은색에서 갈색으로 색상이 번갈아 나타나는 균일한 너비의 일련의 동심원 띠가 형성됩니다. 썩은 부위의 살은 단단하고 가죽 같은 느낌을 유지합니다. 감염된 과일의 표면에는 검은색 산낭이 종종 보입니다.","끝 부분에서 최소 15인치 아래로 가지치기를 하여 궤양을 제거하고 태우거나 묻습니다. 또한 새 시즌 가지치기로 예방 관리를 하고, 태워도 좋습니다. 휴면기에는 가지치기를 하는 것이 좋습니다. 이렇게 하면 화재 마름병이 나무를 감염시키고 Botryosphaeria에 쉽게 감염될 수 있는 죽은 조직을 생성할 확률이 최소화됩니다. 우박으로 인해 나무껍질이 손상되거나 폭풍으로 인해 가지가 부러지는 경우에도 예방 조치를 취해야 합니다. 구리 기반 살균제를 사용하면 검은 부패와 화재병을 예방할 수 있습니다.",http://www.omafra.gov.on.ca/english/crops/facts/blackrotf1.jpg
2,사과 , 삼나무 녹,"삼나무 사과녹병(Gymnosporangium juniperi-virginianae)은 노간주나무가 복잡한 2년의 수명주기를 완료해야 하는 곰팡이 질병입니다. 포자는 다양한 노간주나무 종의 어린 가지에 적갈색 담즙으로 월동합니다. 이른 봄, 습한 날씨에 이 혹이 부풀어 오르고 밝은 주황색 포자 덩어리가 바람에 날려 취약한 사과나무와 게사과나무를 감염시킵니다. 이 나무에서 자라는 포자는 다음 해에만 노간주나무를 감염시킵니다. 해마다 질병은 노간주나무에서 사과, 노간주나무로 다시 전염되어야 합니다. 사과나무 사이에는 퍼질 수 없습니다.","가능한 경우 저항성 품종을 선택하십시오.
나무 아래에 있는 낙엽과 기타 잔해물을 긁어 모아 처리합니다.
감염된 주니퍼의 담즙을 제거하십시오. 어떤 경우에는 주니퍼 식물을 완전히 제거해야 합니다.
주니퍼 숙주가 방출하는 포자로부터 나무를 보호하기 위해 싹이 터질 때부터 시작하여 매주 사과에 사용하도록 라벨이 붙은 질병 퇴치 예방 살균제를 적용하십시오. 이는 1년에 한 번만 발생하므로 이번 봄 확산 이후에는 추가 적용이 필요하지 않습니다.
주니퍼의 녹은 8월 말에서 10월 말 사이에 구리 용액(0.5~2.0oz/갤런 물)을 최소 4회 뿌리면 제어할 수 있습니다.
세레나데 가든으로 대부분의 곰팡이 및 세균성 질병을 안전하게 치료하세요. 이 광범위한 생물 살균제는 유기농용으로 등록된 특허받은 Bacillus subtilis 균주를 사용합니다. 무엇보다도 세레나데는 꿀벌과 익충에 전혀 독성이 없습니다.",https://www.planetnatural.com/wp-content/uploads/2012/12/apple-rust.jpg
3,사과 , 건강하다,"대부분의 과일과 마찬가지로 사과도 햇볕이 잘 드는 곳에서 재배할 때 가장 잘 생산됩니다. 즉, 여름에 직사광선이 매일 6시간 이상 지속되는 것을 의미합니다. 사과가 가장 잘 노출되는 곳은 남쪽이 아닌 집의 북쪽, 나무 경계선 또는 언덕입니다.사과 나무는 배수가 잘 되는 토양이 필요하지만 어느 정도 수분을 유지할 수 있어야 합니다.","사과는 영양가가 높습니다. 
사과는 체중 감량에 도움이 될 수 있습니다.
사과는 심장에 좋을 수 있습니다. 
당뇨병 발병 위험이 낮습니다. 
프리바이오틱 효과가 있고 좋은 장내 세균을 촉진할 수 있습니다.
사과의 물질은 암 예방에 도움이 될 수 있습니다.",https://previews.123rf.com/images/msnobody/msnobody1508/msnobody150800002/43698436-red-apple-on-a-branch-of-an-apple-tree-on-a-sunny-day-organic-farmingagriculture-fresh-healthy-natur.jpg
4,나뭇잎 없는 배경,,해당 이미지에는 나뭇잎이 없습니다.,나뭇잎이 포함된 이미지를 다시 업로드해 주세요.,https://cdn.onlinewebfonts.com/svg/img_332817.png
5,블루베리 , 건강함,"블루베리는 칼로리는 낮지만 영양소는 높습니다. ...
블루베리는 항산화 식품의 왕입니다. ...
블루베리는 노화와 암으로부터 보호하는 데 도움이 될 수 있는 DNA 손상을 감소시킵니다. ...
블루베리는 혈액 내 콜레스테롤이 손상되는 것을 방지합니다. ...
블루베리는 혈압을 낮출 수 있습니다.","피트모스, 솔잎 또는 잘 숙성된 톱밥과 같은 깊고 pH가 낮은 뿌리덮개는 물을 보존하고 토양 수분 변동을 최소화합니다. 낮에는 블루베리 식물에 물을 주세요. 토양을 촉촉하게 유지하되 눅눅하지 않게 유지하세요. 성장기에는 일주일에 최소 1인치, 과일이 익는 동안에는 일주일에 최대 4인치를 줍니다. 블루베리는 뿌리가 얕은 식물입니다. 따라서 수분을 유지하면서도 배수가 잘되고 젖지 않는 토양이 필요합니다. 습한 상태로 유지되는 무겁고 점토질 토양이 있는 장소에는 블루베리를 심지 마십시오.",https://image.shutterstock.com/image-photo/blueberry-leaf-collection-isolated-on-260nw-308491814.jpg
6,체리 , 흰가루병,"첫 번째 관개 시작 후 7~10일에 종종 발생하는 초기 증상은 취약한 어린 잎(새로 펼쳐진 잎과 연한 녹색 확장 잎)에 가볍고 대략 원형의 가루처럼 보이는 반점입니다. 오래된 잎은 흰가루병에 대한 연령 관련(개체 발생) 저항성을 가지며 자연적으로 어린 잎보다 감염에 대한 저항력이 더 높습니다. 뿌리 흡반, 캐노피 내부 또는 습도가 높은 나무의 가랑이에서 초기 잎 감염을 찾으십시오. 다른 곰팡이와 달리 흰가루병은 발아하는 데 자유수가 필요하지 않지만 습도가 높으면 발아와 곰팡이 성장이 유리합니다. 이 질병은 잎의 밑면(배축)에서 시작될 가능성이 더 높지만 후기 단계에서는 양쪽 모두에서 발생합니다. 계절이 진행되고 바람에 의해 감염이 퍼지면 잎이 뒤틀리고 위쪽으로 말릴 수 있습니다. 심한 감염으로 인해 잎이 주름지고 뒤틀릴 수 있습니다. 새싹에 새로 발달한 잎은 점차 작아지고, 종종 창백해지고 뒤틀릴 수 있습니다.","절단 가장자리를 소독한 다음 식물의 병든 부분을 잘라내어 즉시 폐기합니다. 동시에, 과일 나무에 남아 있는 잎을 보호하기 위해 살균제를 바르십시오. 계절 전체에 걸쳐 나무를 보호하려면 라벨 지침에 따라 살균제 살포를 반복해야 합니다.",http://treefruit.wsu.edu/wp-content/uploads/2017/05/Fig1.png
7,체리 , 건강함,"신 체리와 달콤한 체리 사이에는 관리에 차이가 없습니다.
습기를 유지하기 위해 뿌리 덮개를 적용하십시오.
새들로부터 과일을 보호하기 위해 나무 위에 그물을 쳐 놓습니다.
건조한 지역에 정기적으로 물을 주세요.
벚나무는 일반적으로 초여름에 자연적으로 얇아지기 때문에 과일을 솎아낼 필요가 없습니다.","영양이 가득합니다.
항산화제와 항염증 화합물이 풍부합니다.
운동 회복력을 높일 수 있습니다.
심장 건강에 도움이 될 수 있습니다.
관절염과 통풍의 증상을 개선할 수 있습니다.
수면의 질을 향상시킬 수 있습니다.
다이어트에 쉽게 추가할 수 있습니다.",https://previews.123rf.com/images/annafrby/annafrby1907/annafrby190700078/127086189-cherry-on-branch-with-green-leaf-healthy-food-fresh-fruit-two-ripe-berries-of-a-cherry-on-a-branch-l.jpg
8,옥수수 , Cercospora 잎 반점 | 회색 잎 반점,"Cercospora zeae-maydis 곰팡이에 의해 발생하는 옥수수의 회색 잎 반점은 미국에서 다년생으로 경제적으로 피해를 주는 질병입니다. 1990년대 중반 이후 이 질병은 인디애나에서 그 중요성이 증가했으며 현재는 인디애나 주에서 가장 중요한 옥수수 잎 질병 중 하나입니다. 회색 잎 반점병은 Magnaporthe grisea라고도 불리는 Pyrularia grisea 곰팡이에 의해 발생합니다. . 플로리다에서 흔히 볼 수 있는 따뜻한 비가 자주 내리는 기간은 이 곰팡이 질병에 유리한 조건을 만듭니다. 이 곰팡이는 성장 속도를 늦추고, 확립된 임분을 가늘게 하며, 세인트 조지의 넓은 지역을 죽일 수 있습니다.","깊게 관개하되 자주 하지 마십시오.
질병이 활성화된 동안에는 잔디밭에 제초제를 사용하지 마십시오.
중간에서 높은 수준의 질소 비료를 피하십시오.
잔디밭의 공기 순환과 조명 수준을 개선합니다.
적절한 높이에서 예초하고 잔디가 말랐을 때만 예초하십시오.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png/330px-Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png
9,옥수수 , 일반적인 녹,비록 성장 기간 내내 옥수수 밭에서 약간의 녹농포가 항상 발견될 수 있지만 일반적으로 술을 달기 전까지는 증상이 나타나지 않습니다. 이는 옥수수 잎의 윗면과 아랫면 모두에 흩어져 있는 어둡고 적갈색의 농포(요로증)가 발생하여 다른 질병과 쉽게 인식되고 구별될 수 있습니다. 이 농포는 식물의 지상 어느 부분에나 나타날 수 있지만 잎에 가장 많이 나타납니다. 농포는 타원형에서 길쭉한 모양으로 나타나며 일반적으로 작고 길이가 1/4인치 미만이며 뚫고 나온 잎 표피층으로 둘러싸여 있습니다. ,옥수수 녹병의 발생을 줄이려면 곰팡이에 저항성이 있는 옥수수만 심으십시오. 저항성은 인종별 저항성 또는 부분적인 녹 저항성 형태로 나타납니다. 두 경우 모두 단옥수수는 완전히 저항력이 없습니다. 옥수수에 감염 증상이 나타나기 시작하면 즉시 살균제를 뿌립니다.,https://ohioline.osu.edu/sites/ohioline/files/imce/Plant_Pathology/PLNTPTH-CER-02_Figure_1.png
